nctid	age	count
NCT00000134	<=18 years	0.0
NCT00000134	>=65 years	0.0
NCT00000134	between 18 and 65 years	279.0
NCT00000135	<=18 years	0.0
NCT00000135	>=65 years	0.0
NCT00000135	between 18 and 65 years	209.0
NCT00000136	<=18 years	0.0
NCT00000136	>=65 years	0.0
NCT00000136	between 18 and 65 years	234.0
NCT00000142	<=18 years	0.0
NCT00000142	>=65 years	0.0
NCT00000142	between 18 and 65 years	64.0
NCT00000143	<=18 years	0.0
NCT00000143	>=65 years	0.0
NCT00000143	between 18 and 65 years	61.0
NCT00000371	<=18 years	0.0
NCT00000371	>=65 years	0.0
NCT00000371	between 18 and 65 years	55.0
NCT00000378	<=18 years	0.0
NCT00000378	>=65 years	98.0
NCT00000378	between 18 and 65 years	12.0
NCT00000392	18-39 years	122.0
NCT00000479	<=18 years	0.0
NCT00000479	>=65 years	3968.0
NCT00000479	between 18 and 65 years	35908.0
NCT00000575	<=18 years	1041.0
NCT00000575	>=65 years	0.0
NCT00000575	between 18 and 65 years	0.0
NCT00001262	<=18 years	60.0
NCT00001262	>=65 years	0.0
NCT00001262	between 18 and 65 years	0.0
NCT00001304	<=18 years	3.0
NCT00001304	>=65 years	1.0
NCT00001304	between 18 and 65 years	23.0
NCT00001305	<=18 years	42.0
NCT00001305	>=65 years	0.0
NCT00001305	between 18 and 65 years	0.0
NCT00001566	<=18 years	26.0
NCT00001566	>=65 years	0.0
NCT00001566	between 18 and 65 years	16.0
NCT00001575	<=18 years	0.0
NCT00001575	>=65 years	17.0
NCT00001575	between 18 and 65 years	70.0
NCT00001586	<=18 years	0.0
NCT00001586	>=65 years	27.0
NCT00001586	between 18 and 65 years	78.0
NCT00001596	<=18 years	0.0
NCT00001596	>=65 years	1.0
NCT00001596	between 18 and 65 years	34.0
NCT00001656	<=18 years	25.0
NCT00001656	>=65 years	0.0
NCT00001656	between 18 and 65 years	0.0
NCT00001723	<=18 years	200.0
NCT00001723	>=65 years	0.0
NCT00001723	between 18 and 65 years	0.0
NCT00001832	<=18 years	1.0
NCT00001832	>=65 years	1.0
NCT00001832	between 18 and 65 years	108.0
NCT00001941	<=18 years	1.0
NCT00001941	>=65 years	4.0
NCT00001941	between 18 and 65 years	29.0
NCT00001984	<=18 years	0.0
NCT00001984	>=65 years	0.0
NCT00001984	between 18 and 65 years	5.0
NCT00002558	<=18 years	3.0
NCT00002558	>=65 years	0.0
NCT00002558	between 18 and 65 years	105.0
NCT00002766	<=18 years	7.0
NCT00002766	>=65 years	10.0
NCT00002766	between 18 and 65 years	153.0
NCT00003102	<=18 years	0.0
NCT00003102	>=65 years	2.0
NCT00003102	between 18 and 65 years	13.0
NCT00003138	<=18 years	0.0
NCT00003138	>=65 years	93.0
NCT00003138	between 18 and 65 years	17.0
NCT00003199	<=18 years	0.0
NCT00003199	>=65 years	0.0
NCT00003199	between 18 and 65 years	50.0
NCT00003222	<=18 years	0.0
NCT00003222	>=65 years	9.0
NCT00003222	between 18 and 65 years	32.0
NCT00003224	<=18 years	0.0
NCT00003224	>=65 years	8.0
NCT00003224	between 18 and 65 years	14.0
NCT00003270	<=18 years	6.0
NCT00003270	>=65 years	0.0
NCT00003270	between 18 and 65 years	14.0
NCT00003377	20-29 years	1.0
NCT00003377	30-39 years	2.0
NCT00003377	40-49 years	15.0
NCT00003377	50-59 years	5.0
NCT00003377	60-69 years	6.0
NCT00003631	<=18 years	2.0
NCT00003631	>=65 years	1.0
NCT00003631	between 18 and 65 years	115.0
NCT00003644	40-49 years	122.0
NCT00003644	50-59 years	186.0
NCT00003644	60-69 years	121.0
NCT00003644	>=70 years	70.0
NCT00003644	less than 40 years	43.0
