pmid	black	white	nctid	ratio	repetition
23349433	408.0	1137.0	NCT00000125	0.35883905013192613	2
22395889	408.0	1137.0	NCT00000125	0.35883905013192613	2
22159015	408.0	1137.0	NCT00000125	0.35883905013192613	2
20212196	408.0	1137.0	NCT00000125	0.35883905013192613	2
17420364	408.0	1137.0	NCT00000125	0.35883905013192613	2
34518266	0.0	6604.0	NCT00000620	0.0	1
33952397	0.0	6604.0	NCT00000620	0.0	1
32905623	0.0	6604.0	NCT00000620	0.0	1
32732305	0.0	6604.0	NCT00000620	0.0	1
32223381	0.0	6604.0	NCT00000620	0.0	1
32138746	0.0	6604.0	NCT00000620	0.0	1
31066177	0.0	6604.0	NCT00000620	0.0	1
30571235	0.0	6604.0	NCT00000620	0.0	1
30262460	0.0	6604.0	NCT00000620	0.0	1
29183908	0.0	6604.0	NCT00000620	0.0	1
28939617	0.0	6604.0	NCT00000620	0.0	1
28832365	0.0	6604.0	NCT00000620	0.0	1
28030716	0.0	6604.0	NCT00000620	0.0	1
27289122	0.0	6604.0	NCT00000620	0.0	1
27161620	0.0	6604.0	NCT00000620	0.0	1
26822326	0.0	6604.0	NCT00000620	0.0	1
26476086	0.0	6604.0	NCT00000620	0.0	1
26464212	0.0	6604.0	NCT00000620	0.0	1
26459421	0.0	6604.0	NCT00000620	0.0	1
25887355	0.0	6604.0	NCT00000620	0.0	1
26720308	187.0	1026.0	NCT00002651	0.18226120857699804	2
23550669	187.0	1026.0	NCT00002651	0.18226120857699804	2
24625415	13.0	228.0	NCT00004031	0.05701754385964912	2
24171516	13.0	228.0	NCT00004031	0.05701754385964912	2
29624463	116.0	810.0	NCT00004124	0.14320987654320988	2
21502546	116.0	810.0	NCT00004124	0.14320987654320988	2
30950656	69.0	1763.0	NCT00004562	0.039137833238797506	2
23141853	69.0	1763.0	NCT00004562	0.039137833238797506	2
22025606	69.0	1763.0	NCT00004562	0.039137833238797506	2
20547926	69.0	1763.0	NCT00004562	0.039137833238797506	2
19228620	69.0	1763.0	NCT00004562	0.039137833238797506	2
19194534	69.0	1763.0	NCT00004562	0.039137833238797506	2
17105759	69.0	1763.0	NCT00004562	0.039137833238797506	2
30630649	0.0	2332.0	NCT00004732	0.0	1
30571337	0.0	2332.0	NCT00004732	0.0	1
30527940	0.0	2332.0	NCT00004732	0.0	1
28455318	0.0	2332.0	NCT00004732	0.0	1
26890472	0.0	2332.0	NCT00004732	0.0	1
26610643	0.0	2332.0	NCT00004732	0.0	1
26493675	0.0	2332.0	NCT00004732	0.0	1
26351359	0.0	2332.0	NCT00004732	0.0	1
26173731	0.0	2332.0	NCT00004732	0.0	1
26122922	0.0	2332.0	NCT00004732	0.0	1
25613307	0.0	2332.0	NCT00004732	0.0	1
