nctid	race	count
NCT00000125	african american	408.0
NCT00000125	white	1137.0
NCT00000392	black	10.0
NCT00000392	white	177.0
NCT00000620	nonwhite	3647.0
NCT00000620	white	6604.0
NCT00001262	black or african american	10.0
NCT00001262	white	44.0
NCT00001304	black or african american	0.0
NCT00001304	white	26.0
NCT00001305	black or african american	0.0
NCT00001305	white	38.0
NCT00001575	black or african american	15.0
NCT00001575	white	66.0
NCT00001586	black or african american	8.0
NCT00001586	white	94.0
NCT00001656	black or african american	7.0
NCT00001656	white	15.0
NCT00001832	black or african american	1.0
NCT00001832	white	109.0
NCT00001849	black or african american	9.0
NCT00001849	white	53.0
NCT00001941	black	25.0
NCT00001941	white	6.0
NCT00001959	black or african american	8.0
NCT00001959	white	8.0
NCT00001984	black or african american	0.0
NCT00001984	white	5.0
NCT00002651	black or african american	187.0
NCT00002651	white	1026.0
NCT00002850	white	160.0
NCT00003199	black or african american	1.0
NCT00003199	white	37.0
NCT00003270	black or african american	2.0
NCT00003270	white	18.0
NCT00003590	black or african american	0.0
NCT00003590	white	28.0
NCT00003816	hispanic, white	3.0
NCT00003816	non-hispanic african american	12.0
NCT00003816	non-hispanic white	341.0
NCT00003869	black or african american	1.0
NCT00003869	white	180.0
NCT00003896	black or african american	0.0
NCT00003896	white	59.0
NCT00003901	black/african american	60.0
NCT00003901	white	959.0
NCT00004031	black or african american	13.0
NCT00004031	white	228.0
NCT00004088	black or african american	7.0
NCT00004088	white	69.0
NCT00004124	blackrace/ethnicity	116.0
NCT00004124	whiterace/ethnicity	810.0
NCT00004146	black or african american	1.0
NCT00004146	white	54.0
NCT00004228	black or african american	41.0
NCT00004228	white	315.0
NCT00004547	african american	9.0
NCT00004547	white	161.0
NCT00004562	black or african american	69.0
NCT00004562	white	1763.0
NCT00004732	non-white	152.0
NCT00004732	white	2332.0
NCT00005803	black or african american	0.0
NCT00005803	white	72.0
NCT00005901	black or african american	2.0
NCT00005901	white	27.0
NCT00005908	african american	6.0
NCT00005908	white	15.0
NCT00006110	black or african american	23.0
NCT00006110	white	56.0
NCT00006156	black or african american	6.0
NCT00006156	white	32.0
NCT00006184	black or african american	0.0
NCT00006184	white	2.0
NCT00006227	black or african american	7.0
NCT00006227	white	20.0
NCT00006244	black or african american	0.0
NCT00006244	white	34.0
NCT00006392	african american	4314.0
NCT00006392	hispanic (african american)	360.0
NCT00006392	hispanic (non-african american)	1934.0
NCT00006392	white	27569.0
NCT00006400	black or african american	181.0
NCT00006400	white	1.0
NCT00006489	black	105.0
NCT00006489	white	50.0
NCT00006604	black non-hispanic	102.0
NCT00006604	white non-hispanic	5.0
NCT00007345	black or african american	21.0
NCT00007345	white	105.0
NCT00007475	black or african american	3.0
NCT00007475	white	9.0
NCT00008138	black or african american	1.0
NCT00008138	white	51.0
NCT00014222	black or african american	98.0
NCT00014222	white	1866.0
NCT00014911	race: white	35.0
NCT00016718	black non-hispanic	27.0
NCT00016718	white non-hispanic	5.0
NCT00019682	black or african american	0.0
NCT00019682	white	184.0
NCT00021541	black or african american	7.0
NCT00021541	white	50.0
NCT00023309	black	5.0
NCT00023309	white	17.0
NCT00023322	black or african american	0.0
NCT00023322	white	11.0
NCT00025259	black or african american	194.0
NCT00025259	white	1348.0
NCT00026793	black or african american	9.0
NCT00026793	white	15.0
NCT00027846	black or african american	39.0
NCT00027846	white	290.0
NCT00028093	african american	6.0
NCT00028262	black or african american	0.0
NCT00028262	white	10.0
NCT00028769	black or african american	9.0
NCT00028769	white	26.0
NCT00030147	black or african american	12.0
NCT00030147	white	44.0
NCT00030264	black or african american	2.0
NCT00030264	white	17.0
NCT00030901	black or african american	52.0
NCT00030901	white	353.0
NCT00030992	african american	12.0
NCT00031694	non-hispanic black	3.0
NCT00031694	non-hispanic whites	13.0
NCT00033371	black or african american	1.0
NCT00033371	white	106.0
NCT00033514	black or african american	3.0
NCT00033514	white	18.0
NCT00033540	black or african american	6.0
NCT00033540	white	37.0
NCT00035555	black or african american	18.0
NCT00035555	white	180.0
NCT00035932	black	55.0
NCT00035932	white	216.0
NCT00036569	black	4.0
NCT00039130	black or african american	5.0
NCT00039130	white	98.0
NCT00040365	black	2.0
NCT00040365	white	23.0
NCT00040664	african heritage	1.0
NCT00040664	black	24.0
NCT00040664	white/caucasian	35.0
NCT00040742	non-white	36.0
NCT00040742	white	538.0
NCT00041132	black or african american	1.0
NCT00041132	white	48.0
NCT00041717	black or african american	30.0
NCT00041717	white	175.0
NCT00041756	black	3.0
NCT00042432	black	16.0
NCT00042432	white	31.0
NCT00042666	black or african american	2.0
NCT00042666	white	50.0
NCT00043108	black or african american	2.0
NCT00043108	white non-hispanic	17.0
NCT00043186	black or african american	12.0
NCT00043186	white or caucasian	355.0
NCT00043979	black or african american	0.0
NCT00043979	white	60.0
NCT00045162	black or african american	32.0
NCT00045162	white	604.0
NCT00045630	black or african american	2.0
NCT00045630	white	70.0
NCT00047060	black or african american	3.0
NCT00047060	white	1.0
NCT00047320	black or african american	9.0
NCT00047320	white	72.0
NCT00048568	black or african american	14.0
NCT00048568	white	572.0
NCT00048581	black or african american	14.0
NCT00048581	white	372.0
NCT00049257	black or african american	3.0
NCT00049257	white	52.0
NCT00049504	black or african american	5.0
NCT00049504	white	41.0
NCT00049543	black or african american	19.0
NCT00049543	white	468.0
NCT00050089	black	138.0
NCT00050089	white	160.0
NCT00050622	black or african american	19.0
NCT00050622	white	122.0
NCT00050960	black or african american	43.0
NCT00050960	white	541.0
NCT00051025	black or african american	1.0
NCT00051025	white	8.0
NCT00051311	white	55.0
NCT00052078	black or african american	44.0
NCT00052078	white	385.0
NCT00052442	black or african american	11.0
NCT00052442	white	45.0
NCT00052962	black or african american	4.0
NCT00052962	white	23.0
NCT00053352	black or african american	30.0
NCT00053352	white	200.0
NCT00053677	whiterace/ethnicity	70.0
NCT00053846	african american	39.0
NCT00053846	white	337.0
NCT00053989	black or african american	0.0
NCT00053989	white	40.0
NCT00054028	black or african american	4.0
NCT00054028	white	27.0
NCT00054327	black or african american	0.0
NCT00054327	white	34.0
NCT00054665	black or african american	4.0
NCT00054665	white	45.0
NCT00054756	black or african american	19.0
NCT00054756	white	68.0
NCT00054847	black or african american	61.0
NCT00054847	white	660.0
NCT00055471	black	1.0
NCT00055692	black	2.0
NCT00055692	white	25.0
NCT00056407	black	190.0
NCT00056407	white	7491.0
NCT00056550	black or african american	0.0
NCT00056550	white	13.0
NCT00056862	african-american	3.0
NCT00057577	black or african american	48.0
NCT00057577	white	387.0
NCT00057811	black or african american	8.0
NCT00057811	white	74.0
NCT00057863	black	8.0
NCT00057863	white	12.0
NCT00058019	african american	1.0
NCT00058058	black or african american	48.0
NCT00058058	white	887.0
NCT00058123	black or african american	2.0
NCT00058123	white	40.0
NCT00058370	black or african american	0.0
NCT00058370	white	6.0
NCT00058422	black or african american	4.0
NCT00058422	white	57.0
NCT00059215	african descent	48.0
NCT00059332	black or african american	219.0
NCT00059332	white	1325.0
NCT00059475	black or african american	1.0
NCT00059475	white	137.0
NCT00059787	black	2.0
NCT00059787	white	42.0
NCT00059839	black or african american	19.0
NCT00059839	white	89.0
NCT00060424	black or african american	0.0
NCT00060424	white	20.0
NCT00060606	black non-hispanic	2.0
NCT00060606	white non-hispanic	171.0
NCT00061633	black or african american	41.0
NCT00061633	white	79.0
NCT00061893	black or african american	0.0
NCT00061893	white	30.0
NCT00061932	black	3.0
NCT00061932	white	33.0
NCT00061945	black or african american	28.0
NCT00061945	white	251.0
NCT00062166	black or african american	15.0
NCT00062166	white	287.0
NCT00062439	black or african american	0.0
NCT00062439	white	40.0
NCT00062647	black or african american	12.0
NCT00062647	white	38.0
NCT00062764	white	13.0
NCT00062868	black or african american	6.0
NCT00062868	white	57.0
NCT00063232	african-american	0.0
NCT00063232	hispanic white	4.0
NCT00063232	non-hispanic white	17.0
NCT00063570	african	5.0
NCT00064077	black or african american	79.0
NCT00064077	white	316.0
NCT00064298	black or african american	11.0
NCT00064298	white	119.0
NCT00064701	black	128.0
NCT00064701	white	475.0
NCT00065065	black or african american	4.0
NCT00065065	white	98.0
NCT00065156	white	143.0
NCT00065182	black or african american	23.0
NCT00065182	white	367.0
NCT00065507	black/african american	10.0
NCT00065507	white	63.0
NCT00065611	african american	4.0
NCT00065611	white	2.0
NCT00066170	black	21.0
NCT00066365	black or african american	7.0
NCT00066365	white	38.0
NCT00066469	black or african american	7.0
NCT00066469	white	38.0
NCT00066729	black or african american	1.0
NCT00066729	white	6.0
NCT00066742	black or african american	2.0
NCT00066742	white	63.0
NCT00066781	black or african american	1.0
NCT00066781	white	28.0
NCT00067002	black or african american	0.0
NCT00067002	white	85.0
NCT00067470	black	3.0
NCT00067470	white, non-hispanic	24.0
NCT00067990	white	133.0
NCT00068406	black or african american	2.0
NCT00068406	white	54.0
NCT00068419	black or african american	11.0
NCT00068419	white	51.0
NCT00068692	black or african american	6.0
NCT00068692	white	171.0
NCT00069264	black or african american	7.0
NCT00069264	white	16.0
NCT00069277	black or african american	2.0
NCT00069277	white	16.0
NCT00069576	blackethnic groups	110.0
NCT00069576	whiteethnic groups	242.0
NCT00069823	black	152.0
NCT00069823	white	205.0
NCT00070018	black or african american	3.0
NCT00070018	white	42.0
NCT00070070	black or african american	0.0
NCT00070070	white	6.0
NCT00070109	black or african american	7.0
NCT00070109	white	38.0
NCT00070135	black or african american	3.0
NCT00070135	white	105.0
NCT00070707	black or african american	30.0
NCT00070707	white	143.0
NCT00071058	black or african american	3.0
NCT00071058	white	46.0
NCT00071799	black or african american	0.0
NCT00072384	black or african american	7.0
NCT00072384	white	12.0
NCT00072410	black or african american	1.0
NCT00072410	white	6.0
NCT00072475	black or african american	4.0
NCT00072475	white	133.0
NCT00072761	black or african american	181.0
NCT00072761	white	2.0
NCT00073021	black or african american	25.0
NCT00073528	black	27.0
NCT00073528	white	1086.0
NCT00073918	black or african american	1.0
NCT00073918	white	101.0
NCT00074035	black or african american	3.0
NCT00074035	white	30.0
NCT00074282	black or african american	3.0
NCT00074282	white	92.0
NCT00074802	black or african american	12.0
NCT00074802	white	28.0
NCT00074984	black	1.0
NCT00075270	black	20.0
NCT00075270	white	372.0
NCT00075504	black	1.0
NCT00075504	white	30.0
NCT00075582	black or african american	48.0
NCT00075582	white	293.0
NCT00075725	black or african american	219.0
NCT00075725	white	2395.0
NCT00075803	white	541.0
NCT00075816	black or african american	22.0
NCT00075816	white	498.0
NCT00075829	african american	106.0
NCT00076102	black or african american	5.0
NCT00076102	white	29.0
NCT00076245	african american	7.0
NCT00076245	white	48.0
NCT00076258	black or african american	14.0
NCT00076258	white	105.0
NCT00076570	black or african american	1.0
NCT00076570	white	12.0
NCT00076622	black or african american	13.0
NCT00076622	white	80.0
NCT00076752	black or african american	3.0
NCT00076752	white	3.0
NCT00076999	black	33.0
NCT00076999	white	80.0
NCT00077207	black or african american	6.0
NCT00077207	white	49.0
NCT00077675	black or african american	59.0
NCT00077675	white	84.0
NCT00077922	black or african american	2.0
NCT00077922	white	13.0
NCT00078767	african american	10.0
NCT00078767	white	12.0
NCT00078819	black or african american	11.0
NCT00078819	white	158.0
NCT00079001	black or african american	92.0
NCT00079001	white	517.0
NCT00079183	black or african american	2.0
NCT00079183	white	39.0
NCT00079274	black or african american	239.0
NCT00079274	white	2909.0
NCT00079417	black or african american	4.0
NCT00079417	white	19.0
NCT00079937	black or african american	99.0
NCT00079937	white	377.0
NCT00080301	black or african american	22.0
NCT00080301	white	504.0
NCT00080535	black or african american	4.0
NCT00080535	white	6.0
NCT00081159	black	5.0
NCT00081159	white	71.0
NCT00081328	black non-hispanic	227.0
NCT00081328	white non-hispanic	142.0
NCT00081497	black	0.0
NCT00081653	black	1.0
NCT00081653	caucasian/white	679.0
NCT00082368	black or african american	3.0
NCT00082368	white	7.0
NCT00082433	black or african american	46.0
NCT00082433	white	982.0
NCT00082758	black or african american	8.0
NCT00082758	white	27.0
NCT00082810	black	3.0
NCT00082810	whites	14.0
NCT00083616	black or african american	15.0
NCT00083616	white or caucasian	144.0
NCT00084084	white	15.0
NCT00084149	african american	1.0
NCT00084149	white	30.0
NCT00084552	black	20.0
NCT00084552	white	95.0
NCT00084682	black	1.0
NCT00084682	white	7.0
NCT00084799	black or african american	1.0
NCT00084799	white	8.0
NCT00084929	black or african american	325.0
NCT00084929	white	2075.0
NCT00085839	black	22.0
NCT00085839	white	68.0
NCT00086281	black	4.0
NCT00086502	black	23.0
NCT00086502	white	256.0
NCT00086515	black	45.0
NCT00086515	white	452.0
NCT00086580	white	334.0
NCT00086996	black or african american	2.0
NCT00086996	white	86.0
NCT00087126	black or african american	5.0
NCT00087126	white	18.0
NCT00087516	black	38.0
NCT00087516	white	381.0
NCT00087555	african american	11.0
NCT00087698	african	1.0
NCT00088205	black or african american	0.0
NCT00088205	white	60.0
NCT00088413	black or african-american	2.0
NCT00088413	white	22.0
NCT00088452	black or african american	87.0
NCT00088452	white	334.0
NCT00088465	african	102.0
NCT00088530	black	0.0
NCT00088699	black or african american	9.0
NCT00088699	white	52.0
NCT00089583	arabic/north african	1.0
NCT00089583	black	43.0
NCT00089583	white/caucasian	60.0
NCT00089609	black or african american	11.0
NCT00089609	white	62.0
NCT00089635	black or african american	34.0
NCT00089635	white or caucasian	151.0
NCT00089674	black or african american	68.0
NCT00089674	white or caucasian	1224.0
NCT00089791	black or african american	57.0
NCT00089791	white or caucasian	7238.0
NCT00089973	african american/african heritage	1.0
NCT00089973	white - arabic/north african heritage	1.0
NCT00089973	white - white/caucasian/european heritage	30.0
NCT00089986	arabic/north african	14.0
NCT00089986	black	32.0
NCT00089986	white/caucasian	1139.0
NCT00089999	black	1.0
NCT00089999	white	3.0
NCT00090103	black	63.0
NCT00090103	white	4259.0
NCT00090220	black	182.0
NCT00090220	white	785.0
NCT00090233	black	5849.0
NCT00090233	white	47560.0
NCT00090285	black	805.0
NCT00090285	white	1431.0
NCT00090363	african-american	1.0
NCT00090363	black	1.0
NCT00090545	black or african american	6.0
NCT00090545	white	40.0
NCT00091390	black or african american	32.0
NCT00091390	white	86.0
NCT00091819	black or african american	111.0
NCT00091819	white	702.0
NCT00091832	white or caucasian	179.0
NCT00091962	black or african american	52.0
NCT00091962	white	396.0
NCT00092417	black	10.0
NCT00092417	white	646.0
NCT00092443	black	44.0
NCT00092443	white	1065.0
NCT00092456	black	35.0
NCT00092456	white	498.0
NCT00092521	black	308.0
NCT00092521	white	3329.0
NCT00092547	black	71.0
NCT00092547	white	1085.0
NCT00092677	white	1868.0
NCT00093015	black or african american	815.0
NCT00093015	white or caucasian	2570.0
NCT00093145	black, of african heritage	4.0
NCT00093145	white, hispanic or latino	2.0
NCT00093145	white, non-hispanic and non-latino	26.0
NCT00094302	black or african american	300.0
NCT00094302	white	3062.0
NCT00094328	african/americanethnic group	1.0
NCT00094328	blackrace	1.0
NCT00094445	black or african american	0.0
NCT00094445	white	47.0
NCT00094536	black or african american	16.0
NCT00094536	white	79.0
NCT00094653	black	5.0
NCT00094653	white	638.0
NCT00094757	black	39.0
NCT00094757	white	356.0
NCT00094770	black	76.0
NCT00094770	white	866.0
NCT00094809	black or african american	24.0
NCT00094809	white or caucasian	187.0
NCT00094835	black or african american	2.0
NCT00094835	white or caucasian	41.0
NCT00094861	black or african-american	4.0
NCT00094861	white or causcasian	86.0
NCT00094900	black or african american	0.0
NCT00094900	white	11.0
NCT00095056	black	5.0
NCT00095056	white	30.0
NCT00095121	black or african american	14.0
NCT00095121	white	111.0
NCT00095199	black or african american	82.0
NCT00095199	white	820.0
NCT00095238	black or african american	82.0
NCT00095238	white	3859.0
NCT00095498	black or african american	6.0
NCT00095498	white or caucasian	187.0
NCT00096031	black or african american	0.0
NCT00096031	white	54.0
NCT00096135	black or african american	12.0
NCT00096135	white	124.0
NCT00096200	black or african american	0.0
NCT00096200	white	38.0
NCT00096356	african-american	26.0
NCT00096382	black or african american	0.0
NCT00096382	white	26.0
NCT00096785	black or african american	5.0
NCT00096785	white	2.0
NCT00097591	african	392.0
NCT00097721	black or african american	11.0
NCT00097721	white	72.0
NCT00098020	black or african american	2.0
NCT00098020	white	9.0
NCT00098254	black or african american	5.0
NCT00098254	white	26.0
NCT00098774	black or african american	0.0
NCT00098774	white	40.0
NCT00098839	black or african american	16.0
NCT00098839	white	84.0
NCT00099047	black or african american	1.0
NCT00099047	white	22.0
NCT00100048	black (cohort i)	2.0
NCT00100048	black (cohort ii)	3.0
NCT00100048	white (cohort i)	22.0
NCT00100048	white (cohort ii)	43.0
NCT00100230	black or african american	1.0
NCT00100230	white	70.0
NCT00100789	black or african american	11.0
NCT00100789	white	50.0
NCT00100841	black	10.0
NCT00100841	white	51.0
NCT00100932	black or african american	8.0
NCT00100932	white	89.0
NCT00101582	black	9.0
NCT00101647	black or african american	9.0
NCT00101647	white	138.0
NCT00101660	black/african american	15.0
NCT00101660	white	345.0
NCT00101816	black or african american	13.0
NCT00101816	white	77.0
NCT00102063	black or african american	34.0
NCT00102063	white	180.0
NCT00102440	black or african american	62.0
